iter	RMSE
913	733698.5083
914	733580.9142
915	733531.6686
916	733464.1804
917	733425.0714
918	733331.6979
919	733223.3783
920	733164.5849
921	733035.6229
922	732995.248
923	732863.0501
924	732794.8349
925	732731.312
926	732673.0423
927	732592.9324
928	732541.909
929	732293.5426
930	732196.9053
931	732078.2909
932	731917.916
933	731907.5045
934	731729.078
935	731453.6085
936	731418.5584
937	731279.5144
938	731166.0647
939	731093.6742
940	730965.9013
941	730840.4001
942	730796.4925
943	730717.95
944	730677.8727
945	730666.3687
946	730569.2709
947	730395.7052
948	730309.0817
949	730289.8547
950	730207.7088
951	730152.4076
952	730149.7058
953	730102.5015
954	729844.1181
955	729729.4748
956	729582.6019
957	729559.0283
958	729450.0038
959	729337.6337
960	729300.3628
961	729097.6876
962	728972.0713
963	728955.2928
964	728764.0705
965	728673.1738
966	728626.5084
967	728354.6409
968	728326.2832
969	728225.4825
970	728018.1608
971	727909.3031
972	727871.2632
973	727692.4427
974	727585.4062
975	727511.0831
976	727320.1716
977	727166.8663
978	727039.3482
979	727007.1024
980	726918.2087
981	726834.3891
982	726648.3747
983	726473.2231
984	726435.1334
985	726419.1854
986	726361.8672
987	726262.3052
988	726011.0217
989	725904.3428
990	725860.6987
991	725707.1276
992	725635.1454
993	725546.0768
994	725509.7564
995	725505.4293
996	725372.1119
997	725295.5359
998	725258.2809
999	725200.4153
